,gdp_real_level,gdp_real_growth_rate,unemployment_rate,employment_level,labor_force_level,emp_total_nonfarm,emp_total_private,emp_construction,emp_manufacturing,emp_trade_transport_util,emp_retail,emp_prof_business,emp_edu_health,emp_leisure_hospitality,emp_government,v,gdp_real_level_monthly_linear,gdp_real_growth_rate_monthly_linear,gdp_log_growth_linear,u
1961-02-01,3514.134755555556,4.181111111111111,,,,,,,,,,,,,,,3514.134755555556,4.181111111111111,0.00583113198728924,
1961-03-01,3532.5892444444444,5.518888888888889,,,,,,,,,,,,,,,3532.5892444444444,5.518888888888889,0.005237761853347678,
1961-04-01,3553.021,7.0,,,,,,,,,,,,,,,3553.021,7.0,0.005767128442089486,
1961-05-01,3575.5147362637363,7.2967032967032965,,,,,,,,,,,,,,,3575.5147362637363,7.2967032967032965,0.006310920433614697,
1961-06-01,3598.758263736264,7.603296703296704,,,,,,,,,,,,,,,3598.758263736264,7.603296703296704,0.0064797112680192726,
1961-07-01,3621.252,7.9,,,,,,,,,,,,,,,3621.252,7.9,0.006230963175521964,
1961-08-01,3645.1883804347826,7.967391304347826,,,,,,,,,,,,,,,3645.1883804347826,7.967391304347826,0.006588223603522181,
1961-09-01,3669.1247608695653,8.034782608695652,,,,,,,,,,,,,,,3669.1247608695653,8.034782608695652,0.006545102847505646,
1961-10-01,3692.289,8.1,,,,,,,,,,,,,,,3692.289,8.1,0.00629344208576299,
1961-11-01,3714.4802826086957,7.8304347826086955,,,,,,,,,,,,,,,3714.4802826086957,7.8304347826086955,0.00599218043991101,
1961-12-01,3735.9557173913045,7.569565217391304,,,,,,,,,,,,,,,3735.9557173913045,7.569565217391304,0.005764895976245299,
1962-01-01,3758.147,7.3,,,,,,,,,,,,,,,3758.147,7.3,0.0059223494279017075,
1962-02-01,3769.8588,6.06,,,,,,,,,,,,,,,3769.8588,6.06,0.003111530400015994,
1962-03-01,3780.4372,4.94,,,,,,,,,,,,,,,3780.4372,4.94,0.002802117141282423,
1962-04-01,3792.149,3.7,,,,,,,,,,,,,,,3792.149,3.7,0.003093212550863811,
1962-05-01,3807.5205384615383,4.128571428571429,,,,,,,,,,,,,,,3807.5205384615383,4.128571428571429,0.004045323114699073,
1962-06-01,3823.4044615384614,4.571428571428571,,,,,,,,,,,,,,,3823.4044615384614,4.571428571428571,0.004163046031042228,
1962-07-01,3838.776,5.0,,,,,,,,,,,,,,,3838.776,5.0,0.004012319772554562,
1962-08-01,3843.036815217391,3.753260869565217,,,,,,,,,,,,,,,3843.036815217391,3.753260869565217,0.0011093255607317332,
1962-09-01,3847.2976304347826,2.506521739130435,,,,,,,,,,,,,,,3847.2976304347826,2.506521739130435,0.0011080963210332584,
1962-10-01,3851.421,1.3,,,,,,,,,,,,,,,3851.421,1.3,0.0010711834416685662,
1962-11-01,3865.5937282608693,2.3445652173913047,,,,,,,,,,,,,,,3865.5937282608693,2.3445652173913047,0.003673115756427592,
1962-12-01,3879.3092717391305,3.3554347826086963,,,,,,,,,,,,,,,3879.3092717391305,3.3554347826086963,0.0035418281716879108,
1963-01-01,3893.482,4.4,,,,,,,,,,,,,,,3893.482,4.4,0.0036467578948471413,
1963-02-01,3908.5345666666667,4.468888888888889,,,,,,,,,,,,,,,3908.5345666666667,4.468888888888889,0.0038586396772259945,
1963-03-01,3922.1304333333333,4.531111111111111,,,,,,,,,,,,,,,3922.1304333333333,4.531111111111111,0.003472471451226866,
1963-04-01,3937.183,4.6,,,,,,,,,,,,,,,3937.183,4.6,0.0038305089114007984,
1963-05-01,3965.72321978022,6.083516483516483,,,,,,,,,,,,,,,3965.72321978022,6.083516483516483,0.007222746432871574,
1963-06-01,3995.21478021978,7.616483516483516,,,,,,,,,,,,,,,3995.21478021978,7.616483516483516,0.007409100623689824,
1963-07-01,4023.755,9.1,,,,,,,,,,,,,,,4023.755,9.1,0.007118206221173651,
1963-08-01,4032.647956521739,6.909782608695652,,,,,,,,,,,,,,,4032.647956521739,6.909782608695652,0.0022076751080177814,
1963-09-01,4041.540913043478,4.719565217391304,,,,,,,,,,,,,,,4041.540913043478,4.719565217391304,0.0022028120127970396,
1963-10-01,4050.147,2.6,,,,,,,,,,,,,,,4050.147,2.6,0.0021271433831930864,
1963-11-01,4078.925108695652,4.655434782608696,,,,,,,,,,,,,,,4078.925108695652,4.655434782608696,0.007080323198920269,
1963-12-01,4106.774891304348,6.644565217391304,,,,,,,,,,,,,,,4106.774891304348,6.644565217391304,0.006804522537082747,
1964-01-01,4135.553,8.7,,,,,,,,,,,,,,,4135.553,8.7,0.006983033438302755,
1964-02-01,4150.895956043956,7.235164835164835,,,,,,,,,,,,,,,4150.895956043956,7.235164835164835,0.003703148033347148,
1964-03-01,4165.249043956043,5.864835164835165,,,,,,,,,,,,,,,4165.249043956043,5.864835164835165,0.0034518643347229983,
1964-04-01,4180.592,4.4,,,,,,,,,,,,,,,4180.592,4.4,0.003676795004370348,
1964-05-01,4202.128043956043,5.05934065934066,,,,,,,,,,,,,,,4202.128043956043,5.05934065934066,0.005138210801401755,
1964-06-01,4224.381956043956,5.740659340659341,,,,,,,,,,,,,,,4224.381956043956,5.740659340659341,0.005281893411451577,
1964-07-01,4245.918,6.4,,,,,,,,,,,,,,,4245.918,6.4,0.005085083285006675,
1964-08-01,4250.341565217391,4.647826086956522,,,,,,,,,,,,,,,4250.341565217391,4.647826086956522,0.0010412971927582504,
1964-09-01,4254.765130434783,2.895652173913044,,,,,,,,,,,,,,,4254.765130434783,2.895652173913044,0.0010402140207190769,
1964-10-01,4259.046,1.2,,,,,,,,,,,,,,,4259.046,1.2,0.001005629526048324,
1964-11-01,4293.774423913043,4.165217391304348,,,,,,,,,,,,,,,4293.774423913043,4.165217391304348,0.00812097367974296,
1964-12-01,4327.382576086957,7.034782608695652,,,,,,,,,,,,,,,4327.382576086957,7.034782608695652,0.007796708127060015,
1965-01-01,4362.111,10.0,,,,,,,,,,,,,,,4362.111,10.0,0.007993241151323716,
1965-02-01,4381.094711111111,8.346666666666666,,,,,,,,,,,,,,,4381.094711111111,8.346666666666666,0.004342512705370893,
1965-03-01,4398.241288888889,6.8533333333333335,,,,,,,,,,,,,,,4398.241288888889,6.8533333333333335,0.0039061267456652615,
1965-04-01,4417.225,5.2,,,,,,,,,,,,,,,4417.225,5.2,0.004306916919402326,
1965-05-01,4449.5992857142855,6.518681318681319,,,,,,,,,,,,,,,4449.5992857142855,6.518681318681319,0.007302373100731785,
1965-06-01,4483.0527142857145,7.881318681318681,,,,,,,,,,,,,,,4483.0527142857145,7.881318681318681,0.007490179842189804,
1965-07-01,4515.427,9.2,,,,,,,,,,,,,,,4515.427,9.2,0.007195532228886137,
1965-08-01,4550.480923913043,9.301086956521738,,,,,,,,,,,,,,,4550.480923913043,9.301086956521738,0.0077331689000175174,
1965-09-01,4585.534847826087,9.402173913043478,,,,,,,,,,,,,,,4585.534847826087,9.402173913043478,0.007673825616945962,
1965-10-01,4619.458,9.5,,,,,,,,,,,,,,,4619.458,9.5,0.007370631636751668,
1965-11-01,4657.34202173913,9.702173913043477,,,,,,,,,,,,,,,4657.34202173913,9.702173913043477,0.008167521612774564,
1965-12-01,4694.003978260869,9.897826086956522,,,,,,,,,,,,,,,4694.003978260869,9.897826086956522,0.007841041141853466,
1966-01-01,4731.888,10.1,,,,,,,,,,,,,,,4731.888,10.1,0.008038332248084146,
1966-02-01,4737.453533333333,7.1033333333333335,,,,,,,,,,,,,,,4737.453533333333,7.1033333333333335,0.001175484896092982,
1966-03-01,4742.480466666667,4.3966666666666665,,,,,,,,,,,,,,,4742.480466666667,4.3966666666666665,0.0010605419414311257,
1966-04-01,4748.046,1.4,,,,,,,,,,,,,,,4748.046,1.4,0.0011728609557923875,
1966-05-01,4761.301384615384,2.059340659340659,,,,,,,,,,,,,,,4761.301384615384,2.059340659340659,0.002787866015308893,
